gene_id	476822_S10
ER3413_1299	1572
ER3413_13	3314
ER3413_130	2316
ER3413_1300	306
ER3413_1301	1141
ER3413_1303	1166
ER3413_1304	165
ER3413_1305	65
ER3413_1306	712
ER3413_1308	56
ER3413_1309	4397
ER3413_131	4567
ER3413_1310	3326
ER3413_1311	1963
ER3413_1312	1158
ER3413_1313	271
ER3413_1314	1363
ER3413_1315	1988
ER3413_1316	2503
ER3413_1317	1608
ER3413_1318	3757
ER3413_1319	88
ER3413_132	982
ER3413_1320	2142
ER3413_1321	2971
ER3413_1324	1159
ER3413_1325	716
ER3413_1326	6098
ER3413_1327	4066
ER3413_1328	8715
ER3413_1329	1293
ER3413_133	1812
ER3413_1330	1190
ER3413_1331	135
ER3413_1332	400
ER3413_1333	66
ER3413_1334	311
ER3413_1335	4463
ER3413_1336	2342
ER3413_1337	2230
ER3413_1338	1353
ER3413_1339	2949
ER3413_134	1313
ER3413_1340	1244
ER3413_1341	1869
ER3413_1342	6556
ER3413_1343	1166
ER3413_1346	1800
ER3413_1347	1529
ER3413_1348	3729
ER3413_1349	2632
ER3413_1350	3329
ER3413_1351	363
ER3413_1352	1163
ER3413_1353	1738
ER3413_1355	1717
ER3413_1356	1275
ER3413_1357	3204
ER3413_1358	1504
ER3413_1359	31247.96
ER3413_136	6458
ER3413_1360	145
ER3413_1361	1414
ER3413_1362	958
ER3413_1363	930
ER3413_1364	2737
ER3413_1365	2423
ER3413_1366	2013
ER3413_1367	1670
ER3413_1368	756
ER3413_1369	2219
ER3413_137	1475
ER3413_1370	1893
ER3413_1371	2647
ER3413_1372	1229
ER3413_1373	3528
ER3413_1374	133
ER3413_1375	1327
ER3413_1376	6606
ER3413_1377	199
ER3413_1378	34
ER3413_1379	182
ER3413_138	878
ER3413_1380	663
ER3413_1381	17
ER3413_1382	475
ER3413_1383	1796
ER3413_1384	999
ER3413_1387	4858
ER3413_1388	179
ER3413_139	697
ER3413_1398	13320.51
ER3413_1399	2089.65
ER3413_14	5275
ER3413_140	3139
ER3413_1400	1505.25
ER3413_1401	215
ER3413_1403	523
ER3413_1404	2165
ER3413_1405	8374
ER3413_1406	360
ER3413_1407	149
ER3413_1408	1263
ER3413_1409	4334
ER3413_141	1740
ER3413_1410	52
ER3413_1411	622
ER3413_1412	1914
ER3413_1413	2849
ER3413_1414	4762
ER3413_1416	4028
ER3413_1417	1421
ER3413_1418	224
ER3413_1419	828
ER3413_142	490
ER3413_1420	939
ER3413_1421	1788
ER3413_1422	1295
ER3413_1423	1737
ER3413_1424	3153
ER3413_1425	195
ER3413_1426	3977
ER3413_1427	1994
ER3413_1428	2102
ER3413_1429	1011
ER3413_143	1225
ER3413_1430	13587.55
ER3413_1432	1886.98
ER3413_1433	15721.61
ER3413_1436	1472
ER3413_1437	5607
ER3413_1438	1016
ER3413_1439	2669
ER3413_144	968
ER3413_1440	3119
ER3413_1441	3151
ER3413_1442	1015
ER3413_1443	6933
ER3413_1444	1002
ER3413_1445	3486
ER3413_1449	1181
ER3413_145	9072
ER3413_1450	41
ER3413_1451	3106
ER3413_1452	1577
ER3413_1453	2574
ER3413_1454	2207
ER3413_1455	152
ER3413_1456	1722
ER3413_1457	863
ER3413_1458	2193
ER3413_1459	820
ER3413_146	5253
ER3413_1461	1107
ER3413_1463	1707
ER3413_1464	2107
ER3413_1465	500
ER3413_1466	3561
ER3413_1467	100
ER3413_1470	426
ER3413_1471	2100
ER3413_1472	1777
ER3413_1473	1510
ER3413_1474	1793
ER3413_1475	1262
ER3413_1477	2508
ER3413_1478	79
ER3413_1479	103
ER3413_148	13587.55
ER3413_1480	610
ER3413_1481	652
ER3413_1482	2334
ER3413_1483	928
ER3413_1484	3485
ER3413_1485	1443
ER3413_1486	3260
ER3413_1488	848
ER3413_1489	58
ER3413_1491	388
ER3413_1494	8653.08
ER3413_1495	1035
ER3413_1496	78
ER3413_1497	1829
ER3413_1498	1233
ER3413_1499	1085
ER3413_15	3137
ER3413_150	1886.98
ER3413_1500	960
ER3413_1501	2876
ER3413_1502	8315
ER3413_1503	2623
ER3413_1506	1359
ER3413_1509	5497.34
ER3413_151	50738.76
ER3413_1510	1143
ER3413_1511	626
ER3413_1512	103
ER3413_1513	1622
ER3413_1514	2639
ER3413_1516	14
ER3413_1517	38
ER3413_1518	500
ER3413_1519	1119
ER3413_152	2812
ER3413_1520	1318
ER3413_1521	1553
ER3413_1522	1922
ER3413_1523	2878
ER3413_1524	713
ER3413_1525	4756
ER3413_1526	2681
ER3413_1527	1734
ER3413_1528	2901
ER3413_1529	3333.49
ER3413_153	1451
ER3413_1531	4747
ER3413_1532	4443
ER3413_1533	3326
ER3413_1534	1712
ER3413_1535	3892
ER3413_1536	1637
ER3413_1537	29
ER3413_1538	3682
ER3413_1539	1596
ER3413_154	16021
ER3413_1540	931
ER3413_1542	931
ER3413_1544	2784
ER3413_1545	129
ER3413_1548	3254
ER3413_1549	1307
ER3413_155	2999
ER3413_1550	2717
ER3413_1551	1639
ER3413_1552	1702
ER3413_1553	1954
ER3413_1554	1443
ER3413_1555	201
ER3413_1556	963
ER3413_1557	1623
ER3413_1558	2440
ER3413_156	4461
ER3413_1560	1618
ER3413_1561	185
ER3413_1562	1654
ER3413_1563	2309
ER3413_1564	1517
ER3413_1566	2685
ER3413_1567	2374
ER3413_1568	953
ER3413_1569	423
ER3413_157	324
ER3413_1570	417
ER3413_1571	30
ER3413_1572	2107
ER3413_1573	2084
ER3413_1575	1651
ER3413_1576	372
ER3413_1577	428
ER3413_1578	3936
ER3413_1579	993
ER3413_158	1198
ER3413_1580	935
ER3413_1581	34
ER3413_1582	2104
ER3413_1584	215
ER3413_1585	1737.75
ER3413_1586	1780.35
ER3413_1587	1266.49
ER3413_159	2494
ER3413_1590	456.32
ER3413_1591	1807.88
ER3413_1592	36
ER3413_1593	100
ER3413_1594	544
ER3413_1595	538
ER3413_1596	234
ER3413_1597	81
ER3413_1598	148
ER3413_1599	225
ER3413_16	1786
ER3413_160	1040
ER3413_1600	1548
ER3413_1601	1237
ER3413_1602	284
ER3413_1604	90
ER3413_1605	428
ER3413_1607	53
ER3413_1608	31
ER3413_1609	16
ER3413_161	3258
ER3413_1610	87
ER3413_1612	19
ER3413_1613	58
ER3413_1617	1812
ER3413_1618	1735
ER3413_1619	460
ER3413_162	2959
ER3413_1620	265
ER3413_1621	635
ER3413_1622	1737
ER3413_1623	244
ER3413_1624	3960
ER3413_1625	4282
ER3413_1626	1065
ER3413_1627	1402
ER3413_1628	998
ER3413_1629	954
ER3413_163	3733
ER3413_1630	2234
ER3413_1631	2315
ER3413_1632	1309
ER3413_1633	2133
ER3413_1634	303
ER3413_1635	1057
ER3413_1636	243
ER3413_1637	447
ER3413_1638	1682
ER3413_1639	2558
ER3413_164	569
ER3413_1640	2752
ER3413_1641	1019
ER3413_1642	2513
ER3413_1643	344
ER3413_1644	686
ER3413_1645	881
ER3413_1646	1977
ER3413_1647	2450
ER3413_1648	1286
ER3413_1649	2833
ER3413_165	2033
ER3413_1650	1823
ER3413_1651	2179
ER3413_1652	3458
ER3413_1653	2429
ER3413_1654	3059
ER3413_1655	725
ER3413_1656	1332
ER3413_1657	2459
ER3413_1658	2569
ER3413_1659	1636
ER3413_166	1377
ER3413_1660	1514
ER3413_1661	1861
ER3413_1662	51
ER3413_1663	449
ER3413_1664	640
ER3413_1665	404
ER3413_1666	5404
ER3413_1667	1562
ER3413_1668	612
ER3413_1669	746
ER3413_167	7254
ER3413_1670	771
ER3413_1672	2264
ER3413_1673	859
ER3413_1674	1218
ER3413_1675	2304
ER3413_1676	833
ER3413_1677	218
ER3413_1678	1646
ER3413_1679	959
ER3413_168	1249
ER3413_1680	461
ER3413_1682	156
ER3413_1683	1106
ER3413_1684	574
ER3413_1685	3116
ER3413_1686	1344
ER3413_1688	444
ER3413_1689	1914
ER3413_1690	455
ER3413_1691	847
ER3413_1692	12971
ER3413_1693	150
ER3413_1695	1837
ER3413_1696	964
ER3413_1697	2184
ER3413_1698	0
ER3413_1699	1444
ER3413_17	1198.94
ER3413_170	1147
ER3413_1700	1579
ER3413_1701	2207
ER3413_1702	1701
ER3413_1703	707
ER3413_1704	2821
ER3413_1705	2451
ER3413_1706	0
ER3413_1707	1
ER3413_1708	309
ER3413_1709	2618
ER3413_171	1144
ER3413_1710	1073
ER3413_1711	1511
ER3413_1712	1177
ER3413_1713	761
ER3413_1714	4194
ER3413_1715	869
ER3413_1717	81
ER3413_1718	2201
ER3413_1719	210
ER3413_172	1492
ER3413_1720	1305
ER3413_1721	358
ER3413_1722	1991
ER3413_1723	1625
ER3413_1724	869
ER3413_1725	2461
ER3413_1726	557
ER3413_1727	115
ER3413_1728	205
ER3413_1729	6063
ER3413_173	760
ER3413_1730	4194
ER3413_1731	355
ER3413_1732	2089
ER3413_1733	2594
ER3413_1734	1083
ER3413_1735	937
ER3413_1736	3553
ER3413_1737	1697
ER3413_1738	1837
ER3413_1739	1250
ER3413_174	2441
ER3413_1740	1530
ER3413_1741	2627
ER3413_1742	108
ER3413_1743	2667
ER3413_1744	4308
ER3413_1745	1260
ER3413_1746	1527
ER3413_1747	56
ER3413_1748	2156
ER3413_1749	971
ER3413_175	1603
ER3413_1750	481
ER3413_1751	787
ER3413_1753	729
ER3413_1754	2427
ER3413_1755	194
ER3413_1756	4790
ER3413_1757	1515
ER3413_1759	194
