index,baseMean,log2FoldChange,FoldChange,pvalue,padj,log10_padj,Dbxref,Name,gbkey,gene,gene_biotype,gene_synonym,locus_tag
gene-b2240,7520.0,2.643,6.245,3.785e-09,3.652e-07,6.438,"ASAP:ABE-0007401,ECOCYC:EG10401,GeneID:946704",glpT,Gene,glpT,protein_coding,ECK2232,b2240
gene-b3540,828.5,2.642,6.24,5.016e-06,0.00014,3.854,"ASAP:ABE-0011564,ECOCYC:EG12628,GeneID:948056",dppF,Gene,dppF,protein_coding,"dppE,ECK3527",b3540
gene-b3528,12920.0,2.634,6.207,4.262e-12,9.007e-10,9.045,"ASAP:ABE-0011527,ECOCYC:EG20044,GeneID:948039",dctA,Gene,dctA,protein_coding,ECK3513,b3528
gene-b1748,2061.0,2.611,6.109,0.0008242,0.009755,2.011,"ASAP:ABE-0005824,ECOCYC:G6944,GeneID:946255",astC,Gene,astC,protein_coding,"argM,cstC,ECK1746,ydjW",b1748
gene-b2148,3031.0,2.605,6.084,5.162e-07,2.083e-05,4.681,"ASAP:ABE-0007101,ECOCYC:EG10594,GeneID:949039",mglC,Gene,mglC,protein_coding,"ECK2141,mglP",b2148
gene-b2659,922.5,2.591,6.026,6.901e-12,1.332e-09,8.876,"ASAP:ABE-0008754,ECOCYC:G7394,GeneID:948076",glaH,Gene,glaH,protein_coding,"csi-12,csiD,ECK2653,ygaT",b2659
gene-b1744,255.6,2.589,6.018,2.871e-05,0.0005983,3.223,"ASAP:ABE-0005815,ECOCYC:G6940,GeneID:946256",astE,Gene,astE,protein_coding,"ECK1742,ydjS",b1744
gene-b1747,1427.0,2.585,6.0,0.0007884,0.009383,2.028,"ASAP:ABE-0005822,ECOCYC:G6943,GeneID:946261",astA,Gene,astA,protein_coding,"ECK1745,ydjV",b1747
gene-b1421,902.9,2.583,5.991,9.248e-26,1.3679999999999998e-22,21.86,"ASAP:ABE-0004744,ECOCYC:EG11018,GeneID:945995",trg,Gene,trg,protein_coding,ECK1415,b1421
gene-b4002,28.13,2.576,5.964,5.18e-08,3.341e-06,5.476,"ASAP:ABE-0013081,ECOCYC:EG11918,GeneID:948507",zraP,Gene,zraP,protein_coding,"ECK3994,yjaI,zra",b4002
gene-b1745,809.3,2.563,5.909,4.758e-06,0.0001353,3.869,"ASAP:ABE-0005817,ECOCYC:G6941,GeneID:946259",astB,Gene,astB,protein_coding,"ECK1743,ydjT",b1745
gene-b1746,792.6,2.529,5.77,3.216e-05,0.0006548,3.184,"ASAP:ABE-0005820,ECOCYC:G6942,GeneID:946260",astD,Gene,astD,protein_coding,"ECK1744,ydjU",b1746
gene-b0445,311.5,2.461,5.505,0.005701,0.04518,1.345,"ASAP:ABE-0001542,ECOCYC:EG13217,GeneID:949093",ybaE,Gene,ybaE,protein_coding,ECK0439,b0445
gene-b1101,16620.0,2.458,5.496,6.822e-07,2.666e-05,4.574,"ASAP:ABE-0003722,ECOCYC:EG10787,GeneID:945651",ptsG,Gene,ptsG,protein_coding,"car,cat,catB2,CR,ECK1087,glcA,gptA,tgl,umg,umgC",b1101
gene-b3270,42.08,2.449,5.46,2.032e-06,6.992e-05,4.155,"ASAP:ABE-0010736,ECOCYC:EG12836,GeneID:947764",yhdY,Gene,yhdY,protein_coding,ECK3257,b3270
gene-b2239,4426.0,2.444,5.441,5.896e-08,3.536e-06,5.451,"ASAP:ABE-0007399,ECOCYC:EG10399,GeneID:946725",glpQ,Gene,glpQ,protein_coding,ECK2231,b2239
gene-b1987,795.9,2.44,5.427,2.252e-05,0.0004905,3.309,"ASAP:ABE-0006590,ECOCYC:G7071,GeneID:946502",cbl,Gene,cbl,protein_coding,ECK1982,b1987
gene-b2875,83.37,2.424,5.367,5.548e-07,2.199e-05,4.658,"ASAP:ABE-0009441,ECOCYC:G7494,GeneID:947357",yqeB,Gene,yqeB,protein_coding,ECK2871,b2875
gene-b2365,4503.0,2.424,5.367,2.457e-05,0.0005243,3.28,"ASAP:ABE-0007801,ECOCYC:EG10250,GeneID:949103",dsdX,Gene,dsdX,protein_coding,"dsdC,ECK2361,yfdA,yfdD",b2365
gene-b3072,1319.0,2.41,5.316,9.858e-28,2.187e-24,23.66,"ASAP:ABE-0010087,ECOCYC:G7595,GeneID:945301",aer,Gene,aer,protein_coding,"air,ECK3062,yqjJ",b3072
gene-b3269,122.4,2.4,5.276,0.0001276,0.002106,2.677,"ASAP:ABE-0010733,ECOCYC:EG12835,GeneID:947765",yhdX,Gene,yhdX,protein_coding,ECK3256,b3269
gene-b1440,193.6,2.385,5.225,1.747e-13,6.36e-11,10.2,"ASAP:ABE-0004803,ECOCYC:G6751,GeneID:946005",ydcS,Gene,ydcS,protein_coding,ECK1434,b1440
gene-b1487,1255.0,2.347,5.089,0.0001078,0.001833,2.737,"ASAP:ABE-0004958,ECOCYC:G6781,GeneID:946052",ddpA,Gene,ddpA,protein_coding,"ECK1481,yddS",b1487
gene-b2879,21.13,2.345,5.082,2.592e-06,8.521e-05,4.07,"ASAP:ABE-0009452,ECOCYC:G7498,GeneID:949072",ssnA,Gene,ssnA,protein_coding,"ECK2875,ygfL",b2879
gene-b1388,54.23,2.342,5.07,0.0005988,0.007703,2.113,"ASAP:ABE-0004649,ECOCYC:G6709,GeneID:945833",paaA,Gene,paaA,protein_coding,"ECK1385,ydbO",b1388
gene-b1483,100.4,2.339,5.06,1.065e-09,1.254e-07,6.902,"ASAP:ABE-0004947,ECOCYC:G6777,GeneID:946020",ddpF,Gene,ddpF,protein_coding,"ECK1477,yddO",b1483
gene-b1488,621.7,2.303,4.935,4.233e-05,0.0008275,3.082,"ASAP:ABE-0004960,ECOCYC:G6782,GeneID:945532",ddpX,Gene,ddpX,protein_coding,"ECK1482,vanX,yddT",b1488
gene-b1486,207.9,2.295,4.907,1.778e-05,0.0004068,3.391,"ASAP:ABE-0004955,ECOCYC:G6780,GeneID:946044",ddpB,Gene,ddpB,protein_coding,"ECK1480,yddR",b1486
gene-b0929,57620.0,2.293,4.902,7.214e-12,1.334e-09,8.875,"ASAP:ABE-0003153,ECOCYC:EG10671,GeneID:945554",ompF,Gene,ompF,protein_coding,"cmlB,cry,ECK0920,nfxB,tolF",b0929
gene-b2663,311.2,2.287,4.881,2.391e-10,3.122e-08,7.506,"ASAP:ABE-0008763,ECOCYC:EG11330,GeneID:948049",gabP,Gene,gabP,protein_coding,ECK2657,b2663
gene-b0346,319.2,2.283,4.867,7.196e-13,2.076e-10,9.683,"ASAP:ABE-0001191,ECOCYC:G6201,GeneID:945938",mhpR,Gene,mhpR,protein_coding,ECK0343,b0346
gene-b1441,93.25,2.265,4.808,2.15e-07,1.048e-05,4.979,"ASAP:ABE-0004805,ECOCYC:G6752,GeneID:946007",ydcT,Gene,ydcT,protein_coding,ECK1435,b1441
gene-b4208,3639.0,2.252,4.763,4.664e-12,9.408e-10,9.026,"ASAP:ABE-0013764,ECOCYC:EG12504,GeneID:948725",cycA,Gene,cycA,protein_coding,"dagA,ECK4204,ytfD",b4208
gene-b1484,160.5,2.236,4.71,1.175e-05,0.0002864,3.543,"ASAP:ABE-0004949,ECOCYC:G6778,GeneID:946002",ddpD,Gene,ddpD,protein_coding,"ECK1478,yddP",b1484
gene-b0451,2765.0,2.233,4.7,0.0004488,0.006035,2.219,"ASAP:ABE-0001564,ECOCYC:EG11821,GeneID:945084",amtB,Gene,amtB,protein_coding,"ECK0445,ybaG",b0451
gene-b1006,126.7,2.23,4.693,1.6e-16,8.878e-14,13.05,"ASAP:ABE-0003401,ECOCYC:G6517,GeneID:946589",rutG,Gene,rutG,protein_coding,"ECK0997,ycdG",b1006
gene-b1820,522.7,2.225,4.675,2.546e-07,1.165e-05,4.934,"ASAP:ABE-0006062,ECOCYC:G6998,GeneID:946343",yobD,Gene,yobD,protein_coding,ECK1818,b1820
gene-b4055,1307.0,2.209,4.624,0.0002537,0.003692,2.433,"ASAP:ABE-0013283,ECOCYC:EG11934,GeneID:948562",aphA,Gene,aphA,protein_coding,"ECK4047,hobH,yjbP",b4055
gene-b3081,243.5,2.209,4.625,1.213e-07,6.567e-06,5.183,"ASAP:ABE-0010124,ECOCYC:G36,GeneID:947594",fadH,Gene,fadH,protein_coding,"ECK3071,ygjL",b3081
gene-b3605,1465.0,2.199,4.592,0.0002296,0.003419,2.466,"ASAP:ABE-0011784,ECOCYC:EG11963,GeneID:948121",lldD,Gene,lldD,protein_coding,"ECK3595,lct,lctD",b3605
gene-b1391,22.29,2.198,4.587,0.000709,0.008838,2.054,"ASAP:ABE-0004655,ECOCYC:G6712,GeneID:945959",paaD,Gene,paaD,protein_coding,"ECK1388,ydbQ",b1391
gene-b1302,144.1,2.193,4.573,1.204e-11,2.137e-09,8.67,"ASAP:ABE-0004380,ECOCYC:G6646,GeneID:945446",puuE,Gene,puuE,protein_coding,"ECK1297,goaG",b1302
gene-b2660,828.7,2.18,4.533,1.188e-07,6.508e-06,5.187,"ASAP:ABE-0008756,ECOCYC:EG12387,GeneID:948069",lhgD,Gene,lhgD,protein_coding,"ECK2654,lhgO,ygaF",b2660
gene-b2341,618.9,2.179,4.528,5.341e-06,0.0001472,3.832,"ASAP:ABE-0007723,ECOCYC:G7212,GeneID:949097",fadJ,Gene,fadJ,protein_coding,"ECK2335,yfcX",b2341
gene-b2150,6061.0,2.174,4.514,1.272e-07,6.662e-06,5.176,"ASAP:ABE-0007108,ECOCYC:EG10593,GeneID:949041",mglB,Gene,mglB,protein_coding,ECK2143,b2150
gene-b1014,5791.0,2.162,4.476,3.743e-15,1.846e-12,11.73,"ASAP:ABE-0003424,ECOCYC:EG10801,GeneID:945600",putA,Gene,putA,protein_coding,"ECK1005,poaA,putC",b1014
gene-b4087,70.33,2.134,4.39,0.002987,0.02761,1.559,"ASAP:ABE-0013394,ECOCYC:EG11959,GeneID:948593",alsA,Gene,alsA,protein_coding,"ECK4080,yjcW",b4087
gene-b1415,6318.0,2.119,4.343,1.673e-10,2.32e-08,7.634,"ASAP:ABE-0004725,ECOCYC:EG10035,GeneID:945672",aldA,Gene,aldA,protein_coding,"ald,ECK1408",b1415
gene-b2537,416.9,2.115,4.332,4.173e-18,3.087e-15,14.51,"ASAP:ABE-0008351,ECOCYC:G7331,GeneID:947000",hcaR,Gene,hcaR,protein_coding,"ECK2534,phdR,yfhT",b2537
gene-b0598,1661.0,2.114,4.329,4.197e-07,1.774e-05,4.751,"ASAP:ABE-0002061,ECOCYC:EG10167,GeneID:945213",cstA,Gene,cstA,protein_coding,"ECK0591,ybdC",b0598
gene-b2726,12.58,2.085,4.241,3.108e-05,0.0006356,3.197,"ASAP:ABE-0008958,ECOCYC:EG10483,GeneID:947195",hypA,Gene,hypA,protein_coding,ECK2721,b2726
gene-b3446,18.7,2.073,4.208,2.255e-07,1.076e-05,4.968,"ASAP:ABE-0011255,ECOCYC:G7763,GeneID:947948",yrhB,Gene,yrhB,protein_coding,ECK3430,b3446
gene-b2775,18.81,2.067,4.189,0.0003434,0.004777,2.321,"ASAP:ABE-0009095,ECOCYC:EG13174,GeneID:947248",yqcE,Gene,yqcE,protein_coding,"ECK2769,yqcF",b2775
gene-b3127,47.25,2.055,4.155,0.004228,0.03581,1.446,"ASAP:ABE-0010279,ECOCYC:EG12760,GeneID:947642",garP,Gene,garP,protein_coding,"ECK3115,yhaU",b3127
gene-b3846,1266.0,2.045,4.128,2.167e-08,1.63e-06,5.788,"ASAP:ABE-0012564,ECOCYC:EG10279,GeneID:948336",fadB,Gene,fadB,protein_coding,"ECK3838,oldB",b3846
gene-b0334,21.22,2.043,4.12,1.231e-06,4.668e-05,4.331,"ASAP:ABE-0001152,ECOCYC:G6199,GeneID:945931",prpD,Gene,prpD,protein_coding,"acnC,ECK0331,yahT",b0334
gene-b3872,264.0,2.035,4.098,6.869e-05,0.001255,2.901,"ASAP:ABE-0012651,ECOCYC:EG11838,GeneID:948368",yihL,Gene,yihL,protein_coding,ECK3865,b3872
gene-b4512,212.9,2.021,4.058,6.314e-06,0.0001709,3.767,"ASAP:ABE-0285033,ECOCYC:G0-10438,GeneID:949021",ybdD,Gene,ybdD,protein_coding,ECK0592,b4512
gene-b0330,84.88,2.016,4.046,1.386e-10,2.05e-08,7.688,"ASAP:ABE-0001133,ECOCYC:G6195,GeneID:944987",prpR,Gene,prpR,protein_coding,"ECK0328,yahP",b0330
gene-b2342,558.2,2.014,4.04,2.365e-07,1.116e-05,4.952,"ASAP:ABE-0007725,ECOCYC:G7213,GeneID:948823",fadI,Gene,fadI,protein_coding,"ECK2336,yfcY",b2342
