sample_id,dataset,antibiotic_class,treatment,sample_group,condition,replicate,source_file
WT_amox_1,amoxicillin_resistant_amox_vs_wt_amox,beta_lactam,amoxicillin,WT_amox,control,1,GSM1147041_WTamox1_processed.txt.gz
WT_amox_2,amoxicillin_resistant_amox_vs_wt_amox,beta_lactam,amoxicillin,WT_amox,control,2,GSM1147042_WTamox2_processed.txt.gz
WT_amox_3,amoxicillin_resistant_amox_vs_wt_amox,beta_lactam,amoxicillin,WT_amox,control,3,GSM1147043_WTamox3_processed.txt.gz
512_amox_1,amoxicillin_resistant_amox_vs_wt_amox,beta_lactam,amoxicillin,512_amox,treated,1,GSM1147047_512_amox_1_processed.txt.gz
512_amox_2,amoxicillin_resistant_amox_vs_wt_amox,beta_lactam,amoxicillin,512_amox,treated,2,GSM1147048_512_amox_2_processed.txt.gz
512_amox_3,amoxicillin_resistant_amox_vs_wt_amox,beta_lactam,amoxicillin,512_amox,treated,3,GSM1147049_512_amox_3_processed.txt.gz
